word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
second-rate,rh,adj,2,num,noun,0,0.14,0.58,2.62,5.4,0.7,1.72,1.38,0.83,1.27,2.29,1.48,2.15,1.97,2.2,2.09,1.76,1.7,1.29,1.45,33.03
ice-cream,rh,adj,2,noun,noun,0,0,0.36,0.87,0.24,1.82,1.45,1.33,1.46,2.31,5.15,3.08,2.36,1.56,2.61,2.13,1.51,1.46,1.5,1.79,33
one-man,rh,adj,2,num,noun,0,0,0,0.25,0.06,0.29,0.27,0.1,0.39,0.81,1.1,1.64,3.05,4.27,4.44,5.51,3.7,2.65,2.25,2.16,32.94
dark-haired,rh,adj,2,adj,N-ed,0,0.29,0.44,0.81,0.91,0.88,0.81,1.03,0.73,1.22,0.88,0.94,1.75,2.01,3.22,3,2.86,2.88,3.51,4.6,32.76
high-pitched,rh,adj,2,adj,N-ed,0,0,0.07,0.06,0,0.29,0.38,0.54,0.78,0.86,1.67,2.07,3.21,2.46,2.28,3.21,2.27,3.28,4.19,4.9,32.53
rocking-chair,rh,adj,2,V-ing,noun,0,0.29,0.94,1.62,3.64,4.93,3.45,4.77,3.69,1.9,2.69,2.38,0.98,0.57,0.37,0.08,0.04,0.04,0.07,0.03,32.49
good-humored,rh,adj,2,adj,N-ed,0,0.87,1.6,2.24,4.74,2.23,2.59,3.45,1.5,1.4,1.59,2.3,1.38,1.56,1.3,0.83,0.88,0.87,0.57,0.41,32.3
full-grown,so,adj,2,adj,V-ed,0.85,0.29,1.81,1.5,2.55,3.05,2.53,2.22,1.7,1.95,1.72,2.3,1.26,1.64,1.51,1.42,1.26,0.75,1.11,0.85,32.25
weather-beaten,so,adj,2,noun,V-ed,0,1.44,3.41,2.62,1.52,2.35,2.05,2.36,2.82,2.58,2.86,1.6,1.3,1.27,1.02,0.83,0.42,0.51,0.57,0.68,32.21
ill-fated,rh,adj,2,adj,N-ed,3.39,2.45,2.32,1.93,1.7,1.7,1.89,1.53,1.02,1.22,1.06,0.82,1.34,1.36,1.1,1.42,1.26,1.26,1.9,1.49,32.15
good-sized,rh,adj,2,adj,N-ed,0,0,0.51,0.87,0.79,1.11,1.94,2.81,2.72,2.44,3.17,2.88,1.91,2.14,2.08,2,1.22,1.19,1.15,1.05,31.97
life-long,rh,adj,2,noun,adj,0,0,0.15,1.56,3.76,5.57,5.17,3.84,2.77,1.95,1.59,1.4,0.61,0.37,0.57,0.46,0.46,0.43,0.82,0.44,31.92
black-and-white,co,adj,3,adj,adj,0,0,0.07,0.19,0,0.18,0.11,0.25,0.49,0.36,0.7,1.17,0.73,0.82,1.63,2.88,2.39,3.44,7.8,8.69,31.9
broken-hearted,rh,adj,2,V-ed,N-ed,2.54,3.03,3.56,3.05,3.4,3.17,3.23,2.66,1.75,0.86,1.15,0.82,0.69,0.7,0.24,0.17,0.17,0.12,0.18,0.1,31.58
small-town,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.57,2.53,4.06,3,3.59,3.04,2.44,3.48,3.61,5.24,31.57
able-bodied,rh,adj,2,adj,N-ed,0.85,0.29,1.52,1.25,1.09,2.46,2.91,1.48,2.23,1.95,2.42,1.75,1.34,2.75,1.43,1.21,1.01,1.3,1.07,0.98,31.3
up-to-date,rh,adj,3,adv,noun,0,0,0,0,0,0.18,0,0.05,0.68,3.03,3.44,3.51,3.58,2.79,2.77,2.13,2.1,2.17,1.97,2.5,30.89
low-income,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1.48,2.2,4.09,4.83,4.35,5.94,7.17,30.74
day-to-day,co,adj,3,,,0,0,0,0,0,0,0,0.05,0,0.09,0.04,0.43,0.81,2.01,2.73,4,4.58,5.45,5.05,5.07,30.32
working-class,rh,adj,2,V-ing,noun,0,0,0,0.06,0,0.06,0.16,0.15,0.58,0.54,1.01,0.66,1.14,1.23,1.83,3.71,4.58,5.29,4.51,4.77,30.3
eighteenth-century,rh,adj,2,num,noun,0,0,0,0,0,0.06,0.16,0.3,1.07,2.08,2.38,2.14,2.24,2.14,2.57,3.59,4.03,3.28,1.97,2.23,30.22
south-east,co,adj,2,noun,noun,0,5.34,4.07,4.3,1.15,1.47,1.08,2.9,1.46,1.36,1.28,1.75,0.41,0.74,0.61,1.42,0.13,0.28,0.21,0.1,30.05
far-away,rh,adj,2,adv,adv,0,0,0.07,0.12,0.61,2.11,1.67,2.76,4.71,3.8,4.18,3.59,2.64,1.19,0.24,0.63,0.34,0.43,0.47,0.14,29.7
left-wing,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.04,0.23,2.15,3.94,4.44,4.71,4.95,5.53,1.72,1.62,29.35
full-length,rh,adj,2,adj,noun,0,0,0.51,1.06,1.09,0.41,1.02,0.84,0.78,1,0.66,1.25,1.95,2.01,2.32,2.38,2.48,3.12,3.33,3.08,29.28
passers-by,so,noun,2,noun,prep,0,0,0.8,1.18,2.19,2.11,2.69,2.51,2.43,2.08,1.81,1.72,1.67,1.6,1.34,1.75,1.09,0.95,0.47,0.71,29.09
wide-spread,so,adj,2,adj,V-ed,0.85,0.29,1.96,2.99,3.22,3.87,4.26,3.05,1.89,1.36,2.33,0.97,0.45,0.53,0.12,0.17,0.08,0.12,0.29,0,28.8
fresh-water,rh,adj,2,adj,noun,0,0.43,0.29,1.06,1.09,1,4.96,0.94,1.65,1.04,0.88,0.66,0.61,0.82,10.88,1.04,0.21,0.67,0.04,0.14,28.4
cast-iron,rh,adj,2,v,noun,0,0.43,0.65,0.62,2.06,3.52,2.32,1.58,0.78,2.4,0.57,1.09,1.14,1.4,1.59,1.08,1.09,1.46,2.18,2.37,28.33
first-born,so,adj,2,num,V-ed,2.54,1.59,2.9,2.49,2.79,2.23,1.29,1.62,2.43,1.04,1.06,1.05,0.85,1.48,0.77,0.25,0.5,0.63,0.36,0.34,28.23
ready-made,so,adj,2,adj,V-ed,0.85,0,0.87,0.31,0.55,1.23,1.51,1.48,1.55,2.08,2.29,2.18,1.63,2.87,2.36,1.79,0.97,1.38,1.47,0.85,28.22
ever-increasing,rh,adj,2,adv,V-ing,0,0,0.15,0.31,0.36,1,1.62,1.62,2.04,2.04,2.64,2.65,1.79,1.77,2.28,1.63,1.89,1.58,1.25,1.35,27.96
time-honored,so,adj,2,noun,V-ed,0,0,0.94,1.12,2.31,2.17,1.89,2.95,1.41,1.27,2.03,1.64,0.85,1.15,0.9,1.42,1.6,1.34,1.54,1.35,27.87
looking-glass,rh,adj,2,V-ing,noun,0,1.3,2.11,2.68,4.43,4.05,3.39,1.92,1.89,1.81,0.88,0.9,0.77,0.25,0.49,0.33,0.17,0.12,0.14,0.17,27.8
