word	1810s	1820s	1830s	1840s	1850s	1860s	1870s	1880s	1890s	1900s	1910s	1920s	1930s	1940s	1950s	1960s	1970s	1980s	1990s	2000s	total
sidewalk	0	0	1.23415669492256	1.30854223223472	4.37114705394706	4.80801028585849	7.97316491279486	9.30302843108856	10.0966741992063	11.5849721732136	15.0216042386121	14.9295935182332	20.8107959255551	20.6177479792451	16.6633862746906	22.062596716752	22.2127128856535	16.4718108065981	26.090191537437	23.9791202402376	249.53925610628
undertaking	17.778455052256	23.9635995809546	19.165727497621	15.7648183216849	16.8774844582956	15.0690078471419	15.192111523028	14.4221551868198	14.4168857555975	14.5264690140686	15.2859139906112	12.9415797599306	10.9744431638669	9.28209371177169	5.82607392978179	6.88152827649163	6.34049082369316	5.88561105559501	3.43574538764603	3.38210440623944	247.412298743095
lifetime	0	1.44359033620208	2.61350829513013	6.9165803703835	7.83163847165515	13.0168083348852	10.666801707658	9.35225080373982	11.0189665539415	12.4900481242459	11.4974742119583	9.39433952452792	11.015089249659	13.1427875564909	16.2559685173632	15.6398369920264	18.1396823565261	18.4468480735763	23.26285939552	26.6509827211668	238.796061596656
statesmen	12.6988964658971	23.8192405473344	13.7935160020757	14.5185876243185	23.616336166464	21.6360462863632	13.5220567102129	17.277052800593	15.6789700304983	12.4900481242459	12.6428164706208	14.7346902085957	13.860315255106	8.62495433394714	7.21129430469495	4.83792290953351	3.14925040911912	2.13304024833645	1.35998254927655	0.744062969372677	238.349080416606
fireplace	0.846593097726474	0.433077100860625	1.81493631606259	4.05024976644079	7.64950734440735	6.44976989566383	11.3132745384251	11.271923337139	12.5237593432463	16.3818747136849	16.7396176266059	23.9341264234861	16.8681256037214	16.8391965567539	19.8005030061116	11.5943324900889	15.8722220619604	12.6402385086604	12.0608978712157	15.3547540043271	234.438979606588
landlord	9.31252407499122	22.2312911775121	27.1514472882964	21.1859218552287	19.9737136215081	14.5999336729118	12.8755838794457	13.7330419697022	12.4752176403655	14.1644386336557	7.62093118263901	6.15894458454527	7.07241892782536	7.80353011166646	5.37791439672166	8.00759653991754	8.06208104734495	5.09559614880373	5.43993019710621	5.54665122623268	233.88870817642
aircraft	0	0	0	0.0623115348683198	0	0.117268543557524	0	0	0	0.0905075951032314	2.51094264399089	7.75715172357285	11.5841344507484	41.2765671696042	23.8339388036528	33.5318105109047	30.0648439057239	43.6088228548784	16.9997818659569	21.1043314949341	232.542413097496
offspring	39.7898755931443	20.065905673209	16.1166344866358	12.8984877177422	13.3562826648382	12.8995397913277	8.83512868715106	9.79525215760118	14.9508444872863	9.77482027114899	7.22446655464045	9.66720415802043	6.46272764094386	6.24282408933317	5.66310682685083	7.25688436430027	5.96258077459887	5.60910583821806	9.66303390275445	7.98176639872508	230.21647207847
weekend	0	0	0	0	0	0	0	0	0	0.0905075951032314	0.264309751999041	1.40330382939006	3.45491729232848	5.54461350039459	13.4855277675369	27.8180567298177	37.2871248439704	40.4092624823738	44.5215339815798	51.0021344460908	225.281292220585
workmen	2.53977929317942	7.36231071463063	9.800656106738	10.1567801835361	11.5956817681096	14.2481280422392	16.0540752973842	20.5749517682276	17.3779296313262	16.5628899038913	20.572109030592	20.2699442023009	13.453854397185	14.3338526787979	8.71874000680632	6.38105349274679	5.8366107582341	4.42408347803115	2.326285939552	1.72487324718212	224.314589940691
everlasting	49.948992765862	25.9846260516375	17.4959860868434	21.7467256690436	16.4525118280507	12.7822712477701	10.3435652922744	11.3703680824416	10.1937576049679	7.60263798867144	6.91610517730823	6.89957716116781	5.56851375351766	4.64104685588584	3.3815673858174	3.04455493444781	3.31721043093881	2.52804770173208	1.57471663600443	1.92779951155648	223.720582165939
downtown	0	0	0	0.0623115348683198	0.0607103757492647	0.293171358893811	0.808091038458938	0.689113217117671	0.970834057615992	4.0275879820938	6.51964054930967	8.22491966670287	12.4377022523825	14.9909920566224	17.7226724437418	25.8995700587958	27.1675335293343	26.4259986321682	34.1427197897324	39.1309479801903	219.574516523778
airport	0	0	0	0	0	0	0	0	0	0	0	2.96253030649013	9.51118407535134	16.7570541345259	20.7375638479646	37.3687838529485	36.5313047457818	33.9311402466853	31.3153876478153	28.4434980564737	217.558446914037
statesman	8.46593097726474	22.2312911775121	13.2853338335782	16.6371798098414	23.0092324089713	16.6521331851684	16.2695662409733	18.0646107630132	12.9606346691735	12.1732715413846	9.60325432263181	11.733179240178	6.90983458465696	4.92854533368408	5.78533215404905	5.12986653338467	3.56915046366834	3.67356931657943	2.46944199737058	1.8263363793693	215.377694932453
eyebrows	0	2.16538550430313	3.48467772684018	5.35879199867551	4.49256780544559	7.15338115700898	10.9900381230416	7.18646640708428	6.69875499755034	9.77482027114899	10.660493330628	10.6807013681355	14.4293604561954	17.5784783568066	15.9300343115013	15.2227746722391	15.4943120128661	14.4177720489408	19.0755447043264	22.7615626539914	213.555917906729
clergyman	3.3863723909059	24.3966766818152	18.2219606132684	19.1296412045742	25.0126748086971	17.7661843489649	20.0945304896789	16.8832738193829	11.8927172057959	12.8973323022105	8.54601531463565	7.01651914695031	5.44657549614137	6.24282408933317	2.85192430129179	4.33744812578867	2.5194003272953	3.87107304327725	1.03788141918474	1.2175575862462	212.768582715438
underground	0.846593097726474	0.144359033620208	0.362987263212519	1.30854223223472	2.00344239972573	7.62245533123907	3.39398236152754	7.08802166178176	7.47542224364314	7.10484621560366	7.1363633039741	7.87409370935535	8.57632410213305	21.2748873570696	18.4560244069311	20.5194661335387	21.7088328201945	18.288845092218	18.4313424441427	19.1088898952528	198.725721105125
policemen	0	0	0	0.498492278946559	3.0962291632125	2.28673659937172	5.44114632562352	5.95590709080273	10.0966741992063	13.7119006581396	10.3080803279626	17.8921238247233	18.2094464348607	13.7177845120874	18.4560244069311	27.4009944100303	28.7631537366213	9.04567068276011	5.29677413928762	5.03933556529677	195.216474355864
policemen	0	0	0	0.498492278946559	3.0962291632125	2.28673659937172	5.44114632562352	5.95590709080273	10.0966741992063	13.7119006581396	10.3080803279626	17.8921238247233	18.2094464348607	13.7177845120874	18.4560244069311	27.4009944100303	28.7631537366213	9.04567068276011	5.29677413928762	5.03933556529677	195.216474355864
broadcast	0	0	0.217792357927511	1.12160762762976	1.15349713923603	0.996782620238956	1.07745471794525	1.77200541544544	1.60187619506639	2.26268987758078	1.76206501332694	6.58773186574779	19.2662446654553	36.183736991464	27.9081163769268	17.8085610549208	21.7088328201945	20.3033831045358	18.5387094875067	14.6106910349544	194.881778366103
horseback	5.07955858635885	15.4464165973623	17.3507911815584	12.8361761828739	12.5670477800978	12.6063684324339	13.0910748230348	9.15536131313477	10.3393827136103	9.63905887849414	8.41386043863613	8.30288099055787	6.42208155515176	6.48925135601737	10.1039603817195	4.29574189380993	6.17253080187348	6.12261552763239	4.5809938501947	5.91868271091902	184.933835995471
westward	0.846593097726474	12.9923130258188	10.1636433699505	8.4743687420915	9.71366011988235	9.73328911527451	7.54218302561676	11.8625918089542	16.1158453564255	17.2869506647172	11.93799046529	10.7586626919905	11.7873648797089	13.266001189833	8.84096533400454	6.38105349274679	5.71064074186934	3.83157229793769	2.93469918528098	2.97625187749071	183.15664048261
hallway	0	0	0	0.12462306973664	0	0	0.969709246150726	1.52589355218913	3.25229409301357	7.91941457153275	12.686868095954	11.1484693112655	13.860315255106	13.266001189833	11.6521478595636	12.845519449451	13.6887417783044	18.4863488189159	24.7659980026151	32.840233784585	179.032578078216
overthrow	8.46593097726474	10.393850420655	13.2127363809357	13.0854223223472	13.2348619133397	15.8312533802658	10.666801707658	9.05691656783224	8.73750651854393	7.7836531788779	6.03507267064476	6.35384789418278	5.04011463822037	6.98210588938578	7.12981075322947	7.50712175617269	6.67641086733254	6.95213117976323	2.89891017082633	3.51738858248902	169.561847769967
staircase	6.77274478181179	8.37282394997209	4.93662677969025	8.7859264164331	8.62087335639559	8.38470086436298	10.0742016127881	8.26935860541205	10.9218831481799	8.32669874949729	7.26851817997362	6.93855782309531	8.04792498683575	7.80353011166646	5.66310682685083	8.54977755564112	9.57372124372213	9.36167664547662	8.696730512479	12.4123231708988	167.781705321183
wholesale	2.53977929317942	1.87666743706271	5.29961404290277	5.79497274275375	4.73540930844265	5.68752436253992	6.57247377946603	7.33413352503807	6.94146351195434	10.5441348295265	8.10549906130392	14.7346902085957	16.2584343168399	15.2374193233066	11.6521478595636	6.96494074044911	10.1195913146361	8.37415801198753	4.72414990801329	5.34372496185832	158.84092853942
wholesale	2.53977929317942	1.87666743706271	5.29961404290277	5.79497274275375	4.73540930844265	5.68752436253992	6.57247377946603	7.33413352503807	6.94146351195434	10.5441348295265	8.10549906130392	14.7346902085957	16.2584343168399	15.2374193233066	11.6521478595636	6.96494074044911	10.1195913146361	8.37415801198753	4.72414990801329	5.34372496185832	158.84092853942
overall	0	0.144359033620208	0.0725974526425037	0.18693460460496	0	0.293171358893811	0.0538727358972625	0	0.339791920165597	0.0452537975516157	0.13215487599952	0.545729266985024	0.731629544257795	5.13390138925425	6.76313477163481	15.7232494559839	23.4304230438463	29.9810657127289	36.7195288304669	37.0340432483219	157.330841042855
commonplace	0	3.17589873964458	3.26688536891267	2.86633060394271	4.49256780544559	10.1437290177258	15.8924570896924	16.4402724655216	12.5237593432463	14.2549462287589	14.1846233572819	10.875604677773	6.21885112619126	6.98210588938578	7.04832720176399	6.54787842066173	5.12278066550044	5.80660956491588	5.43993019710621	4.05852528748733	155.342083050958
airplane	0	0	0	0	0	0	0	0	0	0	1.40965201066155	25.2204882670936	21.3798411266445	27.5587826575168	15.970776087234	14.0550001768344	12.2190915873822	12.7982414900187	12.3829990013076	12.0741127302748	155.068985134968
housekeeper	4.23296548863237	3.32025777326479	3.41208027419767	8.91054948616974	11.474261016611	19.4079439587703	14.1146568050828	11.9610365542567	8.25208948973593	11.2681955903523	10.1318738266299	8.45880363826788	5.60915983930976	5.95532561153493	4.6038206577996	3.62844218215013	4.91283063822583	4.34508198735202	4.29468173455753	6.12160897529339	154.415665528195
bedside	0	8.37282394997209	5.22701659026027	6.97889190525182	11.7171025196081	12.1959285299825	13.2526930307266	13.1915958705383	8.83458992430553	6.83332343029397	6.12317592131111	6.54875120382029	7.23500327099375	5.70889834485073	7.21129430469495	5.42181015723583	7.30626094915636	6.16211627297195	7.8377941655675	7.74501909028832	153.90408943183
railways	0	1.01051323534146	0.508182168497526	1.80703451118128	3.15693953896176	3.81122766561954	9.31998331022642	15.20971314924	13.0577180749351	19.7759095300561	42.6419733225119	11.577256592468	6.95048067044906	5.50354228928056	5.011238415127	4.7128042135973	4.24099055094708	1.89603577629906	1.61050565045907	0.372031484686339	152.174080149885
basketball	0	0	0	0	0	0	0	0	0.0485417028807996	0.0905075951032314	1.18939388399568	1.40330382939006	2.76393383386278	3.9839074780613	13.4447859918041	14.1801188727706	14.5705318928578	22.3574218621931	33.4269395006395	43.7982520608008	151.25763850436
